Severity,Noise Aug Temperature(F),Noise Aug Wind_Chill(F),Noise Aug Humidity(%),Noise Aug Pressure(in),Noise Aug Wind_Speed(mph),Aug Sunrise_Sunset,Aug Civil_Twilight,Aug Nautical_Twilight,Aug Astronomical_Twilight
2,88.04431797502377,85.28725399571117,67.31271742307585,30.198863595004752,13.657450799142236,Day,Day,Day,Day
2,70.20164938060113,80.85231885498285,44.52513280741694,27.810329876120225,6.170463770996571,Night,Day,Night,Day
2,55.359069755507846,57.18633717357694,82.10116199152992,28.45181395110157,23.03726743471539,Night,Day,Day,Day
3,76.98430617934562,74.96694360151977,75.08653101869163,28.006861235869124,8.793388720303954,Night,Day,Day,Day
2,46.69233289997705,46.05108084794611,80.77042551078314,30.87846657999541,0.6102161695892225,Night,Day,Night,Day
2,74.85684140594985,74.78486480484217,97.09240107435843,30.091368281189972,3.1569729609684343,Day,Day,Day,Night
2,88.4217585880588,86.06734365218033,58.01006962329808,29.78435171761176,9.413468730436065,Day,Night,Day,Day
2,64.49448152205356,67.12108202145396,27.219539756904723,29.06889630441071,16.224216404290793,Day,Day,Night,Day
2,81.60739004816287,92.57304895318309,55.54785790038929,27.851478009632572,12.714609790636619,Day,Day,Day,Day
3,51.40077895802646,44.75029360711261,18.917807833759873,28.580155791605293,5.950058721422522,Night,Day,Day,Night
2,3.796806145201062,1.495370324779489,83.00988422377905,29.799361229040215,6.959074064955898,Night,Day,Day,Day
2,81.28561113109458,74.31872630659464,81.66436677818156,31.017122226218916,11.663745261318928,Day,Day,Night,Night
3,74.71809144784231,75.12744966620116,93.27492758034666,30.18361828956846,7.425489933240231,Day,Night,Night,Day
2,58.18479922318633,72.98623461822613,68.69475163917213,26.036959844637266,1.197246923645228,Day,Night,Night,Day
2,53.620419846973974,45.14163151384767,65.8859046825228,29.894083969394796,14.628326302769533,Day,Night,Day,Day
2,21.074588597918417,6.4527949878622675,97.10018253451045,28.454917719583683,15.290558997572454,Day,Night,Night,Day
2,46.61538999847021,48.55725652062148,72.18434176591461,29.573077999694043,15.711451304124296,Day,Day,Night,Day
2,69.05838144420434,62.08123239437786,60.2720100056036,29.87167628884087,4.216246478875572,Night,Night,Day,Day
3,28.154997612479754,20.67468287918404,51.70607921246017,30.01099952249595,11.734936575836809,Day,Day,Night,Day
2,41.65640059558099,32.71613953086604,55.50137304500494,30.8612801191162,2.143227906173207,Day,Night,Day,Day
2,67.80391238388681,69.22226610256567,31.372547969133862,26.82078247677736,-0.5555467794868666,Day,Day,Night,Day
2,68.45393812074393,71.02194515801489,58.12816056936291,28.430787624148785,7.204389031602977,Night,Day,Day,Night
2,61.65631715701782,53.98925236961956,73.2100595524631,30.601263431403563,-1.2021495260760888,Day,Day,Day,Day
2,84.8777256356118,78.02159644121868,51.990495775237335,30.90554512712236,6.604319288243736,Night,Day,Day,Day
2,82.60412881077355,86.58726630625088,72.24664082897422,29.50082576215471,16.317453261250176,Night,Night,Night,Night
2,49.07170511668092,48.335697978087445,74.61223492610489,29.384341023336184,15.667139595617488,Night,Day,Day,Day
3,66.46832512996986,71.53306570550026,74.17359570898057,29.13366502599397,15.90661314110005,Day,Night,Day,Night
2,38.01896687959665,41.353339437758144,82.93983852762366,26.12379337591933,2.4706678875516292,Day,Night,Day,Day
2,54.06262911197099,42.427648454096165,63.90035518847991,30.8125258223942,6.485529690819233,Night,Day,Day,Day
2,37.68120014285411,25.907966056696193,94.63533339887243,31.136240028570825,7.221593211339239,Day,Night,Day,Night
2,63.63994939209833,72.7746653582362,47.82155497489982,28.407989878419666,7.754933071647241,Day,Day,Day,Day
2,74.01766448946012,69.09200815391719,40.48610095803219,30.343532897892025,15.018401630783439,Day,Day,Night,Night
2,43.808180125238174,43.126320586237746,75.33593706413869,29.061636025047633,3.2252641172475496,Day,Night,Day,Day
2,53.774401226974376,60.4636137755843,85.51322814292953,29.164880245394876,0.6927227551168594,Day,Day,Day,Day
2,49.80697802754207,41.6533475172665,91.88225672561211,30.461395605508415,-1.2693304965466992,Day,Day,Day,Day
2,75.69018283232984,76.51257329064802,11.457220158935717,31.39803656646597,4.702514658129606,Night,Day,Day,Day
3,41.92086980445024,34.61164398211401,92.92485287536579,30.184173960890046,18.6023287964228,Night,Day,Day,Day
2,52.82321827907003,47.15928449544555,92.26378176038347,31.104643655814005,14.631856899089108,Day,Day,Day,Day
2,14.901274479551278,24.334835022380055,100.0,27.560254895910255,-0.7330329955239894,Night,Day,Day,Day
2,63.10951252187612,68.09030961278913,86.14590598635655,30.761902504375225,8.818061922557824,Day,Day,Day,Day
2,91.43523534119086,94.87577747017392,43.60823685598838,29.29704706823817,9.775155494034783,Day,Day,Day,Night
2,50.50496324767066,54.76520042926179,45.52286019537479,26.730992649534134,0.5530400858523584,Night,Day,Day,Day
3,81.45880388267751,82.17012227176573,63.3171574984254,29.9517607765355,7.234024454353148,Day,Day,Night,Day
2,69.06215542699553,77.75735690962776,71.68328678879492,27.86243108539911,8.751471381925551,Day,Night,Day,Day
2,29.90164056081244,24.00265829236936,68.74319647512019,29.140328112162486,24.20053165847387,Night,Day,Day,Day
4,62.78556285755873,61.70179934924023,68.60108288974415,29.457112571511747,5.140359869848047,Day,Day,Night,Day
2,69.38947022370758,52.16465148206424,76.10647472842574,30.907894044741514,10.032930296412848,Day,Day,Day,Day
2,33.40864890863176,20.414067691464986,41.669791902901174,29.02172978172635,14.882813538292998,Night,Night,Day,Day
2,45.95753198553406,49.07077123903626,36.52444176149617,23.841506397106812,-0.1858457521927473,Day,Night,Night,Day
2,58.491214782077314,62.549994915827774,88.3348119047312,28.808242956415462,7.309998983165555,Night,Day,Day,Night
2,81.57701058851038,76.71705755550052,67.44804504311217,30.255402117702076,13.943411511100104,Night,Day,Night,Night
2,81.64375554829843,86.09485394896832,37.260992218454845,30.348751109659684,14.218970789793664,Day,Day,Day,Night
4,54.351198981164806,47.24449067980687,88.3212738180367,28.60023979623296,-1.9511018640386248,Day,Night,Day,Day
2,63.56633716556678,61.7179396825258,71.79833044892978,29.983267433113355,9.14358793650516,Night,Day,Night,Night
2,78.4853877467402,68.91010387306423,93.72680362038938,30.03707754934804,-1.8179792253871547,Night,Night,Day,Day
2,89.84322495266444,88.79856147742085,67.46761748219305,30.94864499053289,14.759712295484169,Day,Day,Day,Day
2,46.48973453061324,49.52770642778999,99.18648149215454,29.257946906122648,7.905541285557997,Day,Night,Day,Day
2,43.36168926701116,41.79804986012059,92.64403484996184,29.682337853402235,10.819609972024118,Day,Night,Day,Day
3,70.0394592343392,67.68058519705117,88.36076618410881,29.247891846867844,7.136117039410234,Day,Night,Night,Night
2,47.68242525933941,61.39732465828875,52.69118615408081,28.516485051867882,1.279464931657751,Day,Day,Day,Day
2,51.48060138532288,55.20862332029426,42.2833050445807,25.526120277064578,21.04172466405885,Night,Night,Day,Day
2,44.30527636089945,39.71772151505944,93.4373687684037,30.42105527217989,12.083544303011887,Day,Night,Day,Day
2,9.025567283212304,-8.647586234317204,49.16521475764742,29.56511345664246,15.870482753136558,Day,Day,Day,Day
3,14.827064333124266,11.89928642647566,67.40967608190869,29.455412866624854,5.579857285295132,Day,Day,Day,Day
1,69.92314628974793,73.46553716006325,87.06071847545999,27.884629257949587,-0.7068925679873489,Day,Day,Day,Day
2,65.89677338617321,72.27777829510356,57.15305424383107,29.43935467723464,14.855555659020713,Day,Day,Night,Night
2,81.28642741736616,91.2474044716196,45.332894908536886,29.69728548347323,11.64948089432392,Day,Night,Night,Day
2,32.9886136538919,35.353052799895934,94.74961857624696,28.08772273077838,11.070610559979187,Day,Night,Day,Day
2,62.19357144166995,59.351987650962954,34.523228131704,28.29871428833399,-0.7296024698074095,Day,Day,Day,Day
2,79.02025428407269,78.80708658636551,41.31426846516608,29.86405085681454,7.361417317273103,Night,Day,Day,Night
2,68.43092950605265,52.53429228120676,46.6891387269415,31.78618590121053,7.706858456241353,Night,Day,Day,Night
2,75.8728890641592,77.86195155587838,89.6962159914909,30.144577812831837,6.572390311175676,Night,Night,Day,Day
2,76.28775195361382,77.2530170643127,19.671039311873372,29.65755039072276,7.450603412862539,Night,Night,Day,Day
2,76.62777042116916,67.65091830233918,86.3662904755899,29.795554084233835,6.130183660467836,Day,Night,Day,Day
2,72.4061439235048,76.19108078043818,59.204770868988945,27.511228784700958,6.838216156087636,Night,Day,Day,Day
2,88.86743062275391,87.58430551628116,20.673707954573924,25.393486124550783,6.716861103256233,Night,Day,Day,Day
2,41.30115104970513,34.49570126429587,91.40293379213857,30.260230209941025,6.6991402528591735,Day,Day,Night,Day
2,78.31621056242643,59.95261532290597,35.63505516555324,32.38324211248529,1.7905230645811947,Day,Day,Day,Day
2,69.03819517609439,71.94489364676092,40.96507705450816,29.767639035218878,6.388978729352184,Day,Day,Day,Day
2,74.50773671166806,74.25736804470256,94.84487362426347,30.171547342333614,3.251473608940512,Day,Night,Day,Day
3,50.82644115147378,50.0286543401074,36.11175235447877,29.985288230294756,11.805730868021481,Day,Day,Day,Night
2,30.15660981190234,32.22104249920819,77.81509822780207,28.36132196238047,2.244208499841637,Day,Day,Day,Day
2,24.714114072575104,11.343535632082817,70.75982129665914,30.692822814515022,13.748707126416562,Night,Night,Day,Day
2,57.75966516343387,62.27703556544148,75.27950985868833,28.751933032686775,1.6554071130882952,Night,Day,Day,Day
3,52.95515973521523,42.58219258076731,82.42763814100569,30.63103194704305,7.516438516153463,Day,Night,Day,Day
2,73.4530627260263,74.9391654142259,50.738779537000646,28.92061254520526,5.387833082845179,Night,Night,Day,Day
2,78.0139715546805,73.45603832705999,92.19087664170576,31.282794310936097,0.4912076654119963,Day,Night,Night,Day
2,62.990744686038596,68.20985310126507,52.05183556770444,28.348148937207718,-0.35802937974698623,Day,Night,Night,Day
2,24.934285469001352,21.30301399668383,62.65167282177205,30.18685709380027,2.8606027993367658,Day,Day,Day,Day
3,56.952278129049894,45.69826575862336,46.10952607083643,31.710455625809978,8.73965315172467,Day,Day,Day,Day
2,60.04731837434656,55.45321956246354,73.85905071636923,28.97946367486931,5.090643912492707,Day,Day,Day,Day
2,29.16851135198614,27.591511624263347,99.49048816743893,28.463702270397228,18.31830232485267,Day,Day,Day,Night
2,82.4982568254382,82.36340262164671,77.91922505485978,30.079651365087642,6.072680524329341,Day,Day,Night,Day
2,72.48262172941901,72.9425342771891,18.724726974547238,28.8765243458838,2.58850685543782,Day,Night,Day,Night
1,71.24668284466934,78.55382922889275,75.50980450085882,27.419336568933865,16.910765845778553,Day,Day,Day,Day
2,72.34281487403014,71.81214677510259,21.262962386165636,29.978562974806028,11.962429355020518,Day,Day,Day,Night
2,46.688481431369475,43.343993482775375,44.34301609581501,28.547696286273894,3.2687986965550744,Day,Day,Night,Day
2,63.36796215317591,68.47469113726618,72.17403770249916,29.833592430635182,9.494938227453236,Day,Night,Night,Day
2,58.402878828830985,63.206628161353095,88.9890029598241,29.140575765766197,6.041325632270619,Night,Day,Day,Day
2,96.7496720250877,91.21501065223687,22.264202444941443,29.819934405017538,9.443002130447375,Night,Day,Day,Night
2,74.08373353831881,82.75774885287021,69.44952479545415,29.146746707663763,15.951549770574044,Day,Day,Day,Day
2,80.38969241897162,76.8941877121985,67.14408012957907,28.817938483794325,10.978837542439699,Day,Night,Day,Day
2,79.06758608684835,77.36735949517615,84.21914399730214,30.803517217369667,8.473471899035228,Day,Day,Day,Day
2,84.84567841783023,89.66179454550603,42.77901372556241,28.079135683566044,6.732358909101206,Night,Night,Night,Night
2,66.13729967302065,69.23385387608246,36.57870824034585,29.147459934604132,7.846770775216494,Day,Day,Day,Day
2,84.53571377141213,67.36386289824253,86.77035585629919,31.077142754282427,4.872772579648505,Day,Day,Day,Day
2,24.96258382719386,32.504528498793654,91.9171579508874,28.692516765438775,2.900905699758731,Day,Day,Day,Night
2,95.92316929266153,91.9858967210802,35.41662255758046,28.964633858532306,5.397179344216038,Night,Night,Day,Day
2,82.29941397124212,83.16131475317077,49.95372167755163,29.579882794248423,8.432262950634156,Day,Day,Day,Day
2,80.90911435888655,79.35022093684101,85.89943134372585,30.16182287177731,5.470044187368202,Night,Night,Day,Day
2,82.81524644560959,85.46187052588986,52.31824530748259,27.583049289121917,-0.7076258948220261,Night,Day,Day,Day
2,79.39771693457863,82.43913067911978,27.141104942382558,27.389543386915726,9.287826135823956,Night,Day,Day,Night
2,52.60970782808449,49.446673157213354,19.611937965402777,24.5619415656169,5.88933463144267,Day,Day,Day,Day
2,83.48492336616593,77.51678886342395,59.28800428699065,28.856984673233185,12.103357772684792,Day,Day,Day,Day
2,67.25246425172938,70.20991847726063,92.46095880416534,28.900492850345874,14.841983695452127,Day,Day,Night,Day
2,62.73224104748488,59.15396399776277,47.58140429654468,30.316448209496976,6.6307927995525535,Day,Night,Day,Day
2,23.599876392107547,12.465058903391792,70.13485145198649,25.67997527842151,-2.9069882193216414,Night,Day,Day,Day
2,80.16126848580502,77.12588971689097,42.64636114178129,29.352253697161004,2.625177943378194,Night,Day,Day,Day
2,98.46536236649341,91.80728089578014,47.62295889361561,29.87307247329868,10.961456179156027,Day,Day,Day,Day
2,76.42824290986816,71.84362092269527,50.2424272709822,29.445648581973632,18.368724184539055,Night,Day,Day,Day
2,79.32887255572378,63.81286680888714,93.20731153791772,31.685774511144757,6.762573361777427,Day,Night,Day,Day
2,52.36916460455894,50.54704235916485,71.40990469180518,30.383832920911786,0.10940847183297006,Night,Day,Day,Day
4,43.04348251398676,53.643204141241156,86.46188395819962,28.07869650279735,6.328640828248231,Day,Day,Day,Day
2,84.28276804316914,82.5659223693249,66.17688936332098,30.41655360863383,15.31318447386498,Day,Day,Day,Day
2,62.126591648863396,63.9674830589213,8.717132834287465,28.015318329772676,9.39349661178426,Night,Night,Day,Day
2,54.93542301871226,53.279520975853515,37.35762193043967,30.787084603742453,12.455904195170703,Day,Night,Night,Day
2,81.79297789503703,73.70454844890504,9.74400431683161,26.978595579007404,11.540909689781008,Day,Day,Day,Day
2,40.89658840824145,38.52699815418428,92.33740861585169,28.13931768164829,4.305399630836855,Night,Day,Day,Day
2,98.8168806462216,88.22818665883509,34.8971894584743,30.46337612924432,3.8456373317670156,Day,Day,Day,Day
2,67.06390463468249,56.240855966241405,48.941201802477075,30.3727809269365,-1.7518288067517191,Day,Day,Day,Day
2,91.11030079997245,85.05038146720277,68.6797392297191,30.92206015999449,7.610076293440555,Night,Night,Day,Day
2,66.48396491326974,57.79026744960066,99.23001167401084,31.96679298265395,0.15805348992013185,Night,Night,Day,Day
2,62.77305941998565,63.51688164992555,48.19022591529336,28.18461188399713,6.90337632998511,Day,Day,Day,Day
2,64.23131917821256,65.92016536026321,83.19206349748323,29.076263835642507,6.584033072052641,Day,Day,Day,Day
2,59.55242785187238,59.27126969651609,33.5800057162678,29.270485570374476,13.05425393930322,Day,Day,Night,Day
2,36.92094857517281,37.04123095842484,62.662485717478226,28.724189715034562,13.608246191684968,Day,Night,Day,Day
2,53.61449145292948,47.41434040026708,81.09255292587953,28.952898290585896,4.6828680800534155,Day,Day,Day,Day
2,42.70575987408322,44.88013956921738,58.39753278297484,30.201151974816643,0.7760279138434754,Day,Day,Day,Day
3,81.38345399665009,74.98891490536637,67.68741037363199,28.97669079933002,13.997782981073275,Day,Day,Day,Day
2,74.13591624518011,66.23782381323483,88.68346096561042,30.017183249036027,-0.752435237353035,Night,Day,Day,Day
2,43.065009459389536,31.666074046921615,86.21487585777646,30.073001891877905,4.533214809384323,Day,Day,Day,Night
2,58.26767038578659,48.492989265571815,70.94919528292921,30.903534077157317,6.498597853114363,Day,Day,Day,Day
2,38.67671583381022,36.87656229238989,72.95700183881402,29.005343166762042,14.97531245847798,Night,Night,Day,Night
2,83.6008458329481,72.57814044221978,100.0,32.70016916658962,0.5156280884439565,Day,Night,Day,Night
2,72.12833673882503,73.89211056014018,34.82077942085989,30.725667347765008,5.978422112028035,Night,Day,Night,Day
3,45.714212217918586,52.61071272966968,98.47277648779159,28.92284244358372,7.522142545933936,Day,Day,Day,Day
2,37.645537509694435,37.48165085734816,31.3540855524829,26.739107501938886,-1.1036698285303692,Day,Day,Day,Day
2,72.41236207621593,68.34605387836221,93.76458691244756,29.65247241524319,8.669210775672443,Day,Day,Day,Day
2,78.88268607337075,76.09900435441268,61.69451245997066,29.96653721467415,19.219800870882537,Day,Night,Day,Day
2,67.57000247046047,70.6528745201952,39.25600101989973,29.39400049409209,17.33057490403904,Day,Day,Day,Day
2,69.36618812286773,61.01605676786844,89.08400787241557,30.473237624573546,6.803211353573689,Night,Night,Day,Night
2,57.63585543671564,62.46848844694556,98.83560394001648,30.107171087343126,5.893697689389111,Day,Night,Night,Day
2,54.76603140965798,63.46476935054385,80.88474721957267,28.913206281931597,7.892953870108769,Night,Day,Day,Day
2,19.425763876570677,28.148101008580436,69.39287583969687,27.685152775314133,8.829620201716088,Night,Night,Day,Day
2,36.4674252396649,33.15156703685252,95.41499969258435,29.35348504793298,4.190313407370502,Day,Night,Night,Night
2,78.28199397161737,77.56161079790081,56.61809406298971,30.78639879432347,8.712322159580163,Night,Night,Night,Day
2,74.07046872065102,84.40825918269421,55.63104947170262,30.084093744130204,5.281651836538843,Day,Day,Day,Day
2,82.77130610644006,85.91179161533152,67.78768581639883,28.47426122128801,4.3823583230663035,Night,Day,Day,Day
2,66.86590462925591,58.324798762338204,24.436937180947808,27.06318092585118,8.46495975246764,Day,Night,Day,Day
2,70.92658689864419,59.599949830461185,89.25272153417505,30.195317379728834,11.119989966092236,Night,Day,Day,Night
2,59.580712818994336,67.56356014430666,52.84584399187664,29.136142563798867,9.712712028861331,Day,Day,Day,Night
2,49.768625529727636,37.58424895970708,51.617230992832376,29.76372510594553,3.116849791941416,Night,Day,Night,Day
2,31.19104359223,20.938404735310385,83.50589955485398,29.818208718446,8.827680947062076,Day,Day,Day,Day
2,48.28514851084688,56.18656593519481,98.20877811046246,28.757029702169376,6.437313187038961,Day,Night,Day,Day
2,45.788936801741414,44.92587768414957,55.238693739436954,29.717787360348282,3.185175536829914,Day,Day,Night,Night
2,9.803922631841171,-9.872775679079139,66.51428175185593,29.840784526368235,17.425444864184172,Day,Night,Night,Night
2,91.41525621587638,87.11144927900428,60.459556334093435,31.123051243175276,9.222289855800854,Day,Day,Day,Day
2,87.26901026017451,88.39432906656697,43.337310020806754,30.963802052034904,9.278865813313393,Day,Day,Day,Night
2,74.11165316021454,76.23841809630602,61.18967089871859,28.47233063204291,11.047683619261203,Day,Day,Night,Day
2,77.31087480042439,78.61502430770734,83.91058375651784,29.04217496008488,13.323004861541468,Day,Night,Day,Day
2,39.5751763360433,29.13670277364588,42.00267254763573,29.63503526720866,4.227340554729176,Day,Day,Day,Day
3,63.56892975456105,65.15095905931305,81.64593736665856,30.373785950912207,16.830191811862612,Night,Day,Day,Day
2,90.57523843153024,92.50199294197532,18.68363020051542,24.93504768630605,15.900398588395063,Day,Day,Day,Day
2,66.26365745327361,49.25612659659254,93.70125679373017,33.40273149065472,0.4512253193185082,Night,Night,Day,Day
2,38.85445255346583,35.91746833444964,77.91926171803074,30.73089051069317,8.183493666889929,Day,Day,Day,Day
2,48.677828200902994,37.1097956631181,97.6294326528833,30.425565640180597,-1.1780408673763807,Night,Day,Day,Day
2,82.770008817466,86.33612055775569,40.61724288390379,30.594001763493203,9.667224111551137,Day,Night,Night,Day
2,85.256956256529,89.61619310856129,18.47705278099764,29.6213912513058,10.523238621712258,Day,Day,Night,Night
2,35.423653776798275,36.67810998622873,91.5320249314044,29.884730755359655,5.7356219972457465,Night,Day,Day,Day
1,78.79484610246634,83.9089945438553,58.79309942198952,27.938969220493266,8.78179890877106,Day,Night,Day,Day
2,63.13587392731214,58.71688396161113,18.061117742075847,28.177174785462427,6.343376792322227,Day,Night,Night,Day
3,44.815906966299956,37.37775931868674,73.01667203857802,29.65318139325999,13.475551863737348,Day,Day,Day,Day
2,49.57318226085448,48.32348269659024,69.67219743740729,29.424636452170898,5.264696539318048,Night,Day,Day,Night
3,68.40937069693162,71.60739661878672,34.85050926805185,30.021874139386323,3.721479323757343,Day,Night,Day,Day
2,79.57329283336755,62.749296301989276,97.99649786460793,32.36465856667351,5.949859260397854,Day,Day,Day,Day
3,46.66367403704126,59.78747574668743,86.83861552948692,27.892734807408253,10.757495149337485,Day,Day,Day,Day
2,54.431300951872565,57.85268071998357,76.56457636928425,30.746260190374514,10.370536143996713,Night,Night,Day,Day
2,19.936420644051744,24.476014500419996,90.39937274710505,28.047284128810347,7.695202900083999,Night,Day,Day,Day
2,74.64034067105283,78.4187551183075,98.60378060179356,29.408068134210566,8.283751023661502,Day,Day,Day,Night
2,68.44475298483682,58.06063329549625,76.36096770061738,30.658950596967365,-0.9878733409007492,Night,Day,Day,Day
2,72.32140009547732,67.76574516937318,65.86990941439774,30.204280019095464,14.153149033874636,Night,Day,Night,Day
2,40.61127611035347,49.34809452648334,94.96936609082371,28.57225522207069,7.049618905296667,Day,Day,Day,Day
3,71.42348145370016,78.89674501952666,57.14661886291431,29.194696290740033,9.779349003905333,Night,Day,Night,Day
2,63.39798874467338,59.80490240311228,14.84174237743178,29.899597748934674,14.960980480622457,Day,Day,Day,Day
2,67.34816684141431,68.91045227117054,69.45601377569017,28.729633368282865,8.582090454234109,Night,Night,Day,Day
2,78.08229294790988,66.87096063444312,88.18213352542486,29.986458589581975,5.974192126888623,Day,Night,Night,Day
3,32.22785919951907,19.645737906577807,41.07983800400498,29.835571839903814,6.929147581315561,Day,Day,Day,Day
2,63.74199826197091,76.55709543569861,63.56088971218834,28.97839965239418,6.911419087139723,Day,Day,Day,Day
2,66.71972044662662,49.597722144987664,91.89109298141932,31.093944089325326,-1.2804555710024668,Day,Day,Day,Night
4,31.169595111590056,15.947399106105403,100.0,29.62391902231801,20.18947982122108,Night,Night,Day,Night
2,62.874287066711965,78.037219865976,45.84298722216721,27.614857413342392,8.007443973195198,Day,Night,Day,Day
2,57.93227157384714,50.72538665998854,77.26263184107658,29.80645431476943,10.745077331997708,Day,Day,Day,Day
2,33.69106767615806,31.923552373905416,72.2202464665404,28.738213535231612,8.184710474781083,Day,Day,Day,Day
2,76.26216667398111,76.68957768755328,88.80220838146387,30.782433334796224,13.937915537510655,Day,Night,Day,Night
2,87.0373963078365,91.06249660953625,53.91738401231913,29.1874792615673,5.01249932190725,Night,Day,Day,Day
3,39.42631779266551,44.34201527833384,66.30379229658996,29.4952635585331,25.868403055666768,Day,Night,Day,Day
2,87.52493639490228,76.65700370560903,73.66275733832563,30.35498727898046,16.331400741121804,Day,Night,Day,Day
2,102.32877597085061,103.2936426494194,9.644660067661075,29.62575519417012,6.058728529883879,Night,Day,Day,Day
2,30.998517964721117,31.135991313017676,78.97546618035912,28.059703592944224,6.8271982626035355,Day,Day,Day,Day
2,81.32749382079525,86.85960077418338,58.488941547088885,29.56549876415905,9.771920154836675,Day,Night,Day,Day
2,71.62527344419522,76.20653575849623,81.6870600141019,29.445054688839047,8.441307151699245,Day,Day,Day,Day
2,20.83335383713144,7.334219014450017,78.21150617505587,29.62667076742629,15.366843802890005,Night,Day,Day,Day
2,69.82727120140548,62.144981962296704,91.5287205200246,30.215454240281097,0.22899639245934025,Night,Night,Night,Day
2,71.02490855480478,59.710492743008565,62.03303270516314,30.274981710960958,12.142098548601712,Night,Day,Day,Day
2,55.69558022832477,65.01623750285697,62.15150518537134,28.719116045664954,9.603247500571394,Day,Day,Day,Night
2,53.58930973527388,48.490792329952626,26.210860332793665,31.047861947054773,5.298158465990525,Day,Day,Night,Day
2,62.610780985063165,55.19330084321551,67.189408761301,31.00215619701263,12.638660168643103,Night,Night,Night,Day
